,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age
426,0.1639497716894977,0.259794101279911,0.8200000000000001,0.4039121756487025,0.30217391304347824,0.5994186046511629,0.38283993978926256,0.1464088397790055
240,0.2511415525114155,0.0,0.6398974358974359,0.29740518962075835,0.24347826086956517,0.8267441860465121,0.5156547917711991,0.06906077348066297
590,0.5091324200913241,0.0,0.0,0.4970059880239521,0.0,0.7616279069767442,0.474159558454591,0.06906077348066297
600,0.33789954337899536,0.0,0.0,0.48103792415169666,0.0,0.8691860465116279,0.5669844455594582,0.06906077348066297
448,0.7853881278538812,0.06677796327212021,0.40512820512820513,0.32135728542914177,0.3605590062111801,0.4825581395348837,0.29603612644254906,0.011049723756906077
12,0.7431506849315068,0.13216471897607124,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.7375690607734806
511,0.31415525114155246,1.0,0.0,0.5105788423153692,0.0,0.4087209302325583,0.1763672854992473,0.011049723756906077
948,0.47465753424657525,0.39732888146911527,0.5702564102564103,0.3676646706586826,0.686335403726708,0.3281976744186048,0.14350225790265947,0.06906077348066297
726,0.5228310502283104,0.0,0.0,0.560878243512974,0.0,0.5145348837209305,0.5795283492222778,0.4889502762430939
781,0.4566210045662101,0.0,0.0,0.6487025948103793,0.0,0.5029069767441863,0.5594581033617663,0.06906077348066297
792,0.0958904109589041,0.0,0.8974358974358975,0.2894211576846306,0.5590062111801242,0.41279069767441845,0.6271951831409937,0.06906077348066297
811,0.4223744292237443,0.33667223149693937,0.48205128205128206,0.5289421157684631,0.2795031055900621,0.29941860465116266,0.2558956347215253,0.06906077348066297
814,0.0684931506849315,0.5759599332220368,0.8256410256410256,0.45708582834331324,0.15527950310559005,0.19186046511627897,0.35624686402408434,0.06906077348066297
711,1.0,0.0,0.0,0.40918163672654684,0.0,0.941860465116279,0.04766683391871562,0.06906077348066297
354,0.8515981735159817,0.0,0.30256410256410254,0.16167664670658688,0.05900621118012422,0.8633720930232558,0.11791269443050689,0.06906077348066297
885,0.10730593607305933,0.4257095158597663,0.9948717948717949,0.560878243512974,0.24844720496894407,0.3895348837209305,0.07275464124435538,0.06906077348066297
428,0.33789954337899536,0.0,0.4907179487179487,0.5596007984031937,0.16552795031055897,0.4299418604651164,0.6603110888108381,0.1464088397790055
901,0.11666666666666664,0.4034501947690596,0.5794871794871795,0.4530938123752495,0.24844720496894407,0.5840116279069769,0.23758153537380844,0.06906077348066297
39,0.3093607305936073,0.6608235948803562,0.0,0.8483033932135728,0.0,0.3808139534883721,0.0,0.4889502762430939
752,0.4566210045662101,0.0,0.0,0.6487025948103793,0.0,0.5029069767441863,0.5594581033617663,0.4889502762430939
174,0.20246575342465756,0.0,0.6430769230769231,0.3224750499001994,0.24130434782608692,0.8401162790697674,0.52686904164576,0.03038674033149171
588,0.28082191780821913,0.0,0.0,0.4730538922155687,0.0,0.9069767441860463,0.5995985950827898,0.06906077348066297
646,0.014383561643835613,0.45186421814134675,0.0,0.652694610778443,0.0,0.3988372093023256,0.6397390868038133,0.0
190,0.20168949771689498,0.0,0.641948717948718,0.3201596806387226,0.306832298136646,0.8345930232558136,0.5233065730055195,0.06906077348066297
507,0.5273972602739725,0.0,0.0,0.560878243512974,0.0,0.37848837209302344,0.6236828901154039,0.24033149171270715
143,0.7374429223744292,0.29577072899276574,0.0,0.2534930139720559,0.5124223602484471,0.14854651162790722,0.7353236327145007,0.24309392265193366
931,0.10525114155251142,0.0,0.9338461538461538,0.4762475049900199,0.4658385093167701,0.11017441860465116,0.7282990466633217,0.06906077348066297
584,0.3059360730593607,0.0,0.0,0.5688622754491017,0.0,0.48546511627906996,0.7300551931761163,0.011049723756906077
850,0.10730593607305933,0.3283249860879244,0.4717948717948718,0.4890219560878244,0.21739130434782605,0.44186046511627897,0.46663321625689913,0.06906077348066297
140,0.5385844748858446,0.5258764607679466,0.0,0.42435129740518973,0.29503105590062106,0.417732558139535,0.4059207225288508,0.1464088397790055
248,0.3410273972602739,0.0,0.6065128205128205,0.5325349301397204,0.17857142857142855,0.6610465116279074,0.41076266934269956,0.0
491,0.42694063926940634,0.0,0.0,0.560878243512974,0.0,0.3261627906976745,0.7558956347215251,0.0
203,0.2550684931506849,0.2728158041179744,0.1256923076923077,0.47872255489021964,0.21304347826086956,0.769767441860465,0.4801304565980933,0.0
339,0.2577625570776256,0.1496939343350028,0.6250769230769231,0.27049900199600785,0.29844720496894406,0.6200581395348834,0.46808830908178645,0.03038674033149171
497,0.8630136986301369,0.0,0.0,0.560878243512974,0.0,0.3930232558139535,0.2965378825890619,0.24033149171270715
538,0.4296803652968036,0.5383973288814692,0.0,0.5105788423153692,0.0,0.5732558139534887,0.2767185148018063,0.011049723756906077
604,0.3383561643835616,0.4641068447412355,0.0,0.652694610778443,0.0,0.5133720930232557,0.25112895132965396,0.24033149171270715
358,0.9452054794520546,0.0,0.0,0.32135728542914177,0.2546583850931676,0.0,0.5218263923733064,0.06906077348066297
94,0.8378995433789953,0.3260990539788537,0.0,0.12814371257485035,1.0,0.14854651162790722,0.6184144505770195,0.011049723756906077
315,0.4455707762557078,0.0,0.6027692307692308,0.42355289421157694,0.29565217391304344,0.644767441860465,0.4000250878073257,0.06906077348066297
57,0.22054794520547943,0.3683917640511965,0.0,0.560878243512974,0.0,0.5156976744186048,0.5807827395885601,0.0
951,0.621689497716895,0.0,0.0,0.5465069860279439,0.20807453416149066,0.6168604651162792,0.342197691921726,0.06906077348066297
217,0.2915068493150685,0.0,0.605948717948718,0.5866666666666664,0.19037267080745338,0.660174418604651,0.41051179126944315,0.26795580110497236
524,0.35045662100456615,0.47384529771841966,0.0,0.5105788423153692,0.0,0.655813953488372,0.3268941294530858,0.06906077348066297
483,0.228310502283105,0.030606566499721762,0.7230769230769231,0.6726546906187625,0.053416149068322975,0.4098837209302326,0.5193176116407427,0.011049723756906077
197,0.146324200913242,0.0,0.8372820512820514,0.436806387225549,0.13944099378881986,0.7488372093023252,0.46685900652282997,0.26795580110497236
163,0.3009360730593607,0.0,0.485025641025641,0.6079041916167662,0.14183229813664594,0.4245348837209302,0.6476668339187153,0.0
649,0.2511415525114155,0.3931552587646078,0.0,0.652694610778443,0.0,0.5011627906976743,0.39136979427997987,0.0
664,0.11643835616438353,0.2838063439065109,0.0,0.560878243512974,0.0,0.2529069767441863,0.8758153537380833,0.24033149171270715
264,0.18273972602739724,0.12579298831385644,0.6254871794871795,0.3869061876247506,0.2543478260869565,0.7511627906976748,0.4682639237330657,0.03038674033149171
835,0.07077625570776253,0.5843071786310519,0.0,0.5928143712574849,0.09316770186335402,0.43023255813953476,0.5042649272453588,0.06906077348066297
249,0.3410273972602739,0.0,0.6065128205128205,0.5325349301397204,0.17857142857142855,0.6610465116279074,0.41076266934269956,0.03038674033149171
152,0.5949771689497718,0.5258764607679466,0.0,0.3445109780439122,0.3602484472049689,0.417732558139535,0.4059207225288508,0.24309392265193366
408,0.17358447488584472,0.3611574846967168,0.6082051282051282,0.46459081836327343,0.11086956521739129,0.5997093023255813,0.38334169593577516,0.06906077348066297
142,0.4824200913242009,0.7295492487479133,0.0,0.4291417165668663,0.26708074534161486,0.714825581395349,0.04465629703963869,0.24309392265193366
513,0.1824200913242009,0.7590428491930997,0.0,0.5105788423153692,0.0,0.6145348837209301,0.30180632212744607,0.06906077348066297
658,0.07077625570776253,0.5564830272676684,0.0,0.560878243512974,0.0,0.3674418604651164,0.6151530356246864,0.0
703,0.40867579908675794,0.0,0.0,0.5049900199600799,0.0,0.8808139534883721,0.45158053186151537,0.06906077348066297
318,0.25511415525114156,0.0,0.8961025641025642,0.2637924151696607,0.31552795031055897,0.7340116279069768,0.4574761665830407,0.0
116,0.5949771689497718,0.5258764607679466,0.0,0.3445109780439122,0.3602484472049689,0.417732558139535,0.4059207225288508,0.06906077348066297
